strategy,strategy_id,symbol,sharpe,sortino,total_return,max_drawdown,win_rate,trades,profit_factor,test_period,test_type
BREAKOUT,ALPHA_BREAKOUT_101,NIFTY 50,-2.722750069854783,-2.722750069854783,-0.05910000000000004,0.05910000000000004,0.0,2,0.0,1Y,INDEX
EMA_CROSS,ALPHA_EMA_CROSS_104,NIFTY 50,-6.127377690874812,-8.48851909085946,-0.6332645737901936,0.6462873289368742,0.24324324324324326,37,0.2728184159606632,1Y,INDEX
ORB,ALPHA_ORB_001,NIFTY 50,-0.7635481677722415,-1.1234824193428548,-0.02576421655149197,0.05836464013562259,0.46774193548387094,62,0.8775459261365661,1Y,INDEX
VWAP,ALPHA_VWAP_002,NIFTY 50,10.73624929055331,42.414675493606936,3.2067557265231796,0.019632396175874908,0.8888888888888888,36,47.018140885194654,1Y,INDEX
IRON_CONDOR,ALPHA_IRON_011,NIFTY 50,-20.710150767862274,-6.739051096044565e+16,-0.4073012275884613,0.40131437130147607,0.17142857142857143,70,0.10344827586206894,1Y,INDEX
BREAKOUT,ALPHA_BREAKOUT_101,NIFTY 50,-2.7226160541872955,-2.7226160541872955,-0.16702799507100008,0.16702799507100008,0.0,6,0.0,3Y,INDEX
EMA_CROSS,ALPHA_EMA_CROSS_104,NIFTY 50,-5.728062493169301,-6.2384517785815365,-0.999963941711822,0.999963941711822,0.28865979381443296,97,0.23732262344259508,3Y,INDEX
ORB,ALPHA_ORB_001,NIFTY 50,0.2544310575082311,0.3939946451221545,0.01746945263113453,0.11430691649660724,0.4975124378109453,201,1.0431392808494635,3Y,INDEX
VWAP,ALPHA_VWAP_002,NIFTY 50,13.099424345044648,54.34012046420567,1988468547.7228205,0.12889545529277432,0.723404255319149,188,10.121582148337243,3Y,INDEX
IRON_CONDOR,ALPHA_IRON_011,NIFTY 50,-39.74318769766373,-8.280196102514014e+16,-0.8526696778233253,0.8511814927508335,0.06190476190476191,210,0.032994923857868015,3Y,INDEX
BREAKOUT,ALPHA_BREAKOUT_101,NIFTY 50,-2.4279793172736297,-2.4279793172736297,-0.21625664056230398,0.21625664056230398,0.0,8,0.0,5Y,INDEX
EMA_CROSS,ALPHA_EMA_CROSS_104,NIFTY 50,-3.808540498730688,-6.714171880259771,-0.9999999999234792,0.9999999999424177,0.489010989010989,182,0.4449489226900839,5Y,INDEX
ORB,ALPHA_ORB_001,NIFTY 50,-0.4601870557038796,-0.7034718080536668,-0.08971452658176493,0.20217710293627525,0.47368421052631576,342,0.9251063040169546,5Y,INDEX
VWAP,ALPHA_VWAP_002,NIFTY 50,16.68811048109067,69.26927703228546,1.925562284488895e+23,0.19818359096834984,0.8165137614678899,327,20.41323813828494,5Y,INDEX
IRON_CONDOR,ALPHA_IRON_011,NIFTY 50,-31.048854196371906,-31.048854196371906,-0.9512654763580615,0.9507732084424864,0.09428571428571429,350,0.052050473186119876,5Y,INDEX
BREAKOUT,ALPHA_BREAKOUT_101,RELIANCE,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,TCS,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,HDFCBANK,-1.47327288020619,-1.47327288020619,-0.003466967501242202,0.0038676844783714914,0.5,2,0.10400870179670788,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,INFY,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,ICICIBANK,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,HINDUNILVR,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,ITC,-0.7060680398682211,-0.16758182123195878,-0.018898158850695457,0.031116839116461886,0.3333333333333333,9,0.5235919174653907,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,SBIN,1.1879560977001038,1.2253843774815445,0.059971442228812455,0.019661959506114577,0.5263157894736842,19,2.383039193586712,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,BHARTIARTL,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y,STOCK
BREAKOUT,ALPHA_BREAKOUT_101,KOTAKBANK,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y,STOCK
