"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TMPV","EQ","03-Nov-2025","410.00","414.00","417.85","410.10","417.40","417.00","413.91","89,52,229","3,70,54,57,938.20","1,16,167","45,06,210","50.34"
"TMPV","EQ","04-Nov-2025","417.00","417.40","417.50","405.10","407.00","406.50","409.34","88,89,004","3,63,86,11,820.90","1,21,609","51,47,981","57.91"
"TMPV","EQ","06-Nov-2025","406.50","407.15","409.70","405.40","407.75","407.85","407.81","68,62,359","2,79,85,65,709.70","1,12,326","36,79,642","53.62"
"TMPV","EQ","07-Nov-2025","407.85","406.70","407.20","401.45","405.75","405.70","404.77","69,30,046","2,80,50,98,792.95","1,35,368","35,46,187","51.17"
"TMPV","EQ","10-Nov-2025","405.70","406.00","412.95","406.00","410.70","410.45","410.20","79,13,640","3,24,61,70,957.80","1,33,206","38,29,387","48.39"
"TMPV","EQ","11-Nov-2025","410.45","412.55","413.70","402.65","408.10","407.60","405.76","81,20,946","3,29,51,67,221.65","1,25,989","34,56,417","42.56"
"TMPV","EQ","12-Nov-2025","407.60","407.60","411.40","401.90","402.30","402.15","404.40","1,29,40,220","5,23,30,28,534.65","1,59,229","78,74,682","60.85"
"TMPV","EQ","13-Nov-2025","402.15","404.00","404.00","397.40","398.00","397.95","399.51","1,31,65,727","5,25,97,74,079.35","1,59,478","78,40,657","59.55"
"TMPV","EQ","14-Nov-2025","397.95","397.95","399.60","387.30","392.90","391.20","391.92","2,18,34,856","8,55,75,14,210.55","1,91,160","1,42,92,112","65.46"
"TMPV","EQ","17-Nov-2025","391.20","380.00","380.00","363.00","372.65","372.70","372.85","3,23,93,346","12,07,78,17,482.60","3,65,825","1,54,84,168","47.80"
"TMPV","EQ","18-Nov-2025","372.70","373.10","374.00","369.15","371.10","371.30","371.64","1,74,84,757","6,49,81,13,158.90","1,87,800","1,00,81,221","57.66"
"TMPV","EQ","19-Nov-2025","371.30","371.20","371.25","360.35","361.00","360.85","363.84","1,78,54,517","6,49,62,30,943.50","2,54,289","98,87,864","55.38"
"TMPV","EQ","20-Nov-2025","360.85","362.00","364.40","359.25","359.80","359.80","361.28","1,59,99,034","5,78,01,52,472.75","1,93,006","99,55,699","62.23"
"TMPV","EQ","21-Nov-2025","359.80","359.00","364.25","358.00","362.50","362.25","361.72","1,08,29,322","3,91,72,05,812.25","1,33,734","44,12,665","40.75"
"TMPV","EQ","24-Nov-2025","362.25","362.50","362.85","356.80","357.70","358.30","358.65","1,26,71,925","4,54,47,59,411.10","1,59,958","74,08,248","58.46"
"TMPV","EQ","25-Nov-2025","358.30","358.00","358.10","352.00","352.60","352.45","354.86","1,25,77,566","4,46,32,89,019.85","1,76,255","82,40,712","65.52"
"TMPV","EQ","26-Nov-2025","352.45","354.45","362.85","354.30","359.00","359.25","358.82","1,31,30,211","4,71,14,21,217.75","1,55,509","59,65,110","45.43"
"TMPV","EQ","27-Nov-2025","359.25","362.00","362.80","356.45","358.50","357.80","358.93","88,71,759","3,18,42,98,097.50","1,36,972","37,59,237","42.37"
"TMPV","EQ","28-Nov-2025","357.80","358.00","359.75","355.10","357.10","356.80","356.97","1,09,05,212","3,89,27,79,619.30","1,25,408","70,49,860","64.65"
