symbol,sector,strategy,strategy_name,sharpe,sortino,total_return,max_drawdown,win_rate,trades,profit_factor,period
HDFCBANK,BANKING,BREAKOUT,Swing Breakout,-1.47327288020619,-1.47327288020619,-0.003466967501242202,0.0038676844783714914,0.5,2,0.10400870179670788,1Y
HDFCBANK,BANKING,EMA_CROSS,EMA Crossover,-1.8267920435604506,-1.8369455024732888,-0.04168339670768206,0.04168339670768206,0.4318181818181818,44,0.6320919139394457,1Y
HDFCBANK,BANKING,ORB,Opening Range Breakout,-4.942889809500356,-4.602987616728765,-0.11555378833602337,0.1257387831902779,0.4,35,0.246626010899336,1Y
HDFCBANK,BANKING,VWAP,VWAP Mean Reversion,-0.3736884922644195,-0.25364177980145897,-0.007649133312149781,0.04791103720640226,0.5,22,0.8855031743112249,1Y
HDFCBANK,BANKING,MOMENTUM,Momentum Rotation,-1.47327288020619,-1.47327288020619,-0.003466967501242202,0.0038676844783714914,0.5,2,0.10400870179670788,1Y
HDFCBANK,BANKING,BB_SQUEEZE,Bollinger Squeeze,-1.47327288020619,-1.47327288020619,-0.003466967501242202,0.0038676844783714914,0.5,2,0.10400870179670788,1Y
HDFCBANK,BANKING,RSI_DIV,RSI Divergence,-1.47327288020619,-1.47327288020619,-0.003466967501242202,0.0038676844783714914,0.5,2,0.10400870179670788,1Y
HDFCBANK,BANKING,ATR_BREAKOUT,ATR Breakout,-1.47327288020619,-1.47327288020619,-0.003466967501242202,0.0038676844783714914,0.5,2,0.10400870179670788,1Y
ICICIBANK,BANKING,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ICICIBANK,BANKING,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ICICIBANK,BANKING,ORB,Opening Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ICICIBANK,BANKING,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ICICIBANK,BANKING,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ICICIBANK,BANKING,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ICICIBANK,BANKING,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
ICICIBANK,BANKING,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
AXISBANK,BANKING,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
AXISBANK,BANKING,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
AXISBANK,BANKING,ORB,Opening Range Breakout,-7.09929573971954,-7.09929573971954,-0.002330057744909242,0.002330057744909242,0.0,1,0.0,1Y
AXISBANK,BANKING,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,999.0,1Y
AXISBANK,BANKING,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
AXISBANK,BANKING,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
AXISBANK,BANKING,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
AXISBANK,BANKING,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
KOTAKBANK,BANKING,BREAKOUT,Swing Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
KOTAKBANK,BANKING,EMA_CROSS,EMA Crossover,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
KOTAKBANK,BANKING,ORB,Opening Range Breakout,-2.558892834299189,-38.75722500866948,-0.01644076224790103,0.022887644201542767,0.5,6,0.6099116658572807,1Y
KOTAKBANK,BANKING,VWAP,VWAP Mean Reversion,0.0,0.0,0.0,0.0,0.0,0,999.0,1Y
KOTAKBANK,BANKING,MOMENTUM,Momentum Rotation,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
KOTAKBANK,BANKING,BB_SQUEEZE,Bollinger Squeeze,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
KOTAKBANK,BANKING,RSI_DIV,RSI Divergence,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
KOTAKBANK,BANKING,ATR_BREAKOUT,ATR Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,1Y
SBIN,BANKING,BREAKOUT,Swing Breakout,1.2122686263852105,1.2226056214749477,0.06134778859058376,0.019661959506114577,0.5,20,2.3835531328184794,1Y
SBIN,BANKING,EMA_CROSS,EMA Crossover,1.4599024942613543,1.980617116486596,0.22292624436344566,0.08569486863164133,0.5321637426900585,171,1.3638277570901582,1Y
SBIN,BANKING,ORB,Opening Range Breakout,-3.103713653846343,-2.4279538722060012,-0.2444471498095886,0.2562769043941921,0.2553191489361702,47,0.2982352601263709,1Y
SBIN,BANKING,VWAP,VWAP Mean Reversion,0.7065303669792291,0.6420690689409085,0.08234024733169876,0.1304638733437388,0.5607476635514018,107,1.2059156046483888,1Y
SBIN,BANKING,MOMENTUM,Momentum Rotation,1.2122686263852105,1.2226056214749477,0.06134778859058376,0.019661959506114577,0.5,20,2.3835531328184794,1Y
SBIN,BANKING,BB_SQUEEZE,Bollinger Squeeze,1.2122686263852105,1.2226056214749477,0.06134778859058376,0.019661959506114577,0.5,20,2.3835531328184794,1Y
SBIN,BANKING,RSI_DIV,RSI Divergence,1.2122686263852105,1.2226056214749477,0.06134778859058376,0.019661959506114577,0.5,20,2.3835531328184794,1Y
SBIN,BANKING,ATR_BREAKOUT,ATR Breakout,1.2122686263852105,1.2226056214749477,0.06134778859058376,0.019661959506114577,0.5,20,2.3835531328184794,1Y
INDUSINDBK,BANKING,BREAKOUT,Swing Breakout,1.4220702288520115,1.0173838029148456,0.14634009715949503,0.03710726846424394,0.5,16,2.869176980487084,1Y
INDUSINDBK,BANKING,EMA_CROSS,EMA Crossover,0.6249648652531979,0.783166097686654,0.09830806900787703,0.10629573821195025,0.5,136,1.144835404573115,1Y
INDUSINDBK,BANKING,ORB,Opening Range Breakout,-1.084734867742455,-1.085008031309053,-0.27364226090676735,0.37686910232667925,0.4246575342465753,73,0.6566247848414901,1Y
INDUSINDBK,BANKING,VWAP,VWAP Mean Reversion,-0.500612921538337,-0.5203192787369391,-0.12602645833289428,0.23745460054334827,0.5,148,0.8985202726507223,1Y
INDUSINDBK,BANKING,MOMENTUM,Momentum Rotation,1.4220702288520115,1.0173838029148456,0.14634009715949503,0.03710726846424394,0.5,16,2.869176980487084,1Y
